Date,Winning Number
02-03-2010,172236375224
02-06-2010,142252545904
02-10-2010,50829373834
02-13-2010,101430405101
02-17-2010,70819263615
02-20-2010,132737415432
02-24-2010,41735505712
02-27-2010,184751535830
03-03-2010,70914454923
03-06-2010,102933415915
03-10-2010,172137415001
03-13-2010,61620313608
03-17-2010,242645485508
03-20-2010,93639444509
03-24-2010,142024394907
03-27-2010,72132445210
03-31-2010,51317455412
04-03-2010,101531525904
04-07-2010,43640445233
04-10-2010,212249525834
04-14-2010,61432385220
04-17-2010,52122414915
04-21-2010,113441495520
04-24-2010,11253565705
04-28-2010,122225284424
05-01-2010,162325495820
05-05-2010,133440475711
05-08-2010,52234415731
05-12-2010,375152535838
05-15-2010,152123283620
05-19-2010,20729555827
05-22-2010,192040475729
05-26-2010,10610132032
05-29-2010,10324284110
06-02-2010,40914394338
06-05-2010,183440485925
06-09-2010,142227324905
06-12-2010,91213353830
06-16-2010,81118293606
06-19-2010,93031505439
06-23-2010,113045474810
06-26-2010,133032385725
06-30-2010,63843474827
07-03-2010,31014525303
07-07-2010,104144485604
07-10-2010,202127285604
07-14-2010,202123384206
07-17-2010,222735374503
07-21-2010,162230515825
07-24-2010,203038465927
07-28-2010,11120252702
07-31-2010,11617415715
08-04-2010,192830375336
08-07-2010,42226315230
08-11-2010,71022235229
08-14-2010,93336505831
08-18-2010,43233475539
08-21-2010,71012222726
08-25-2010,161729313623
08-28-2010,42227325613
09-01-2010,172021405119
09-04-2010,111422334238
09-08-2010,103539515720
09-11-2010,71720365933
09-15-2010,72021344334
09-18-2010,11837394413
09-22-2010,102436525515
09-25-2010,81627354230
09-29-2010,134451525530
10-02-2010,122030364725
10-06-2010,142637414624
10-09-2010,20632424935
10-13-2010,122232344602
10-16-2010,111215162811
10-20-2010,71720395917
10-23-2010,20716204634
10-27-2010,202425535915
10-30-2010,10727364939
11-03-2010,343839455033
11-06-2010,71223343833
11-10-2010,50811404410
11-13-2010,173048515429
11-17-2010,141653545905
11-20-2010,101238535701
11-24-2010,82021323704
11-27-2010,103037475439
12-01-2010,51011122002
12-04-2010,132427314222
12-08-2010,81125415816
12-11-2010,10810192023
12-15-2010,101118324518
12-18-2010,41119334314
12-22-2010,113344464712
12-25-2010,11738505224
12-29-2010,31618203730
01-01-2011,182237475436
01-05-2011,222632384007
01-08-2011,60726335224
01-12-2011,192123404827
01-15-2011,91322233731
01-19-2011,223651565932
01-22-2011,303134455123
01-26-2011,40536475806
01-29-2011,242845495202
02-02-2011,31433535736
02-05-2011,153741565905
02-09-2011,71139425130
02-12-2011,113236485219
02-16-2011,91321234824
02-19-2011,31234374236
02-23-2011,293236394929
02-26-2011,41317214510
03-02-2011,73150515806
03-05-2011,22331424821
03-09-2011,122028404808
03-12-2011,10412414703
03-16-2011,283940485309
03-19-2011,31120274608
03-23-2011,51526283209
03-26-2011,41011193327
03-30-2011,192042565837
04-02-2011,62234434523
04-06-2011,101841555615
04-09-2011,51432535611
04-13-2011,42339495039
04-16-2011,213344455507
04-20-2011,92434364327
04-23-2011,31147485819
04-27-2011,42440445505
04-30-2011,61315324103
05-04-2011,31527294124
05-07-2011,21127475515
05-11-2011,91732434531
05-14-2011,81718404416
05-18-2011,71213424916
05-21-2011,20840495036
05-25-2011,42331425023
05-28-2011,122043515511
06-01-2011,81838465631
06-04-2011,171939415821
06-08-2011,143744455329
06-11-2011,161827365008
