Dates,TotalRecovery
2020-03-16,2
2020-03-17,2
2020-03-18,13
2020-03-19,13
2020-03-20,13
2020-03-21,13
2020-03-22,13
2020-03-23,13
2020-03-24,18
2020-03-25,21
2020-03-26,21
2020-03-27,23
2020-03-28,29
2020-03-29,29
2020-03-30,76
2020-03-31,76
2020-04-01,94
2020-04-02,125
2020-04-03,126
2020-04-04,131
2020-04-05,211
2020-04-06,259
2020-04-07,429
2020-04-08,467
2020-04-09,572
2020-04-10,727
2020-04-11,762
2020-04-12,1028
2020-04-13,1095
2020-04-14,1378
2020-04-15,1446
2020-04-16,1645
2020-04-17,1765
2020-04-18,1832
2020-04-19,1868
2020-04-20,1970
2020-04-21,2073
2020-04-22,2156
2020-04-23,2337
2020-04-24,2755
2020-04-25,2866
2020-04-26,2936
2020-04-27,3029
2020-04-28,3233
2020-04-29,3425
2020-04-30,4105
2020-05-01,4351
2020-05-02,4753
2020-05-03,5114
2020-05-04,5635
2020-05-05,5801
2020-05-06,6281
2020-05-07,6464
2020-05-08,7530
2020-05-09,7809
2020-05-10,8063
2020-05-11,8212
2020-05-12,8555
2020-05-13,8899
2020-05-14,9695
2020-05-15,10155
2020-05-16,10880
2020-05-17,11341
2020-05-18,11922
2020-05-19,12489
2020-05-20,13101
2020-05-21,14155
2020-05-22,15201
2020-05-23,16653
2020-05-24,17198
2020-05-25,17482
2020-05-26,18314
2020-05-27,19142
2020-05-28,20231
2020-05-29,22305
2020-05-30,24131
2020-05-31,25271
2020-06-01,26083
2020-06-02,27110
2020-06-03,28923
2020-06-04,30128
2020-06-05,31198
2020-06-06,32581
2020-06-07,33465
2020-06-08,34355
2020-06-09,35018
2020-06-10,36308
2020-06-11,38391
2020-06-12,40247
2020-06-13,50056
2020-06-14,51735
2020-06-15,53721
2020-06-16,56390
2020-06-17,58437
2020-06-18,59215
2020-06-19,61383
2020-06-20,63504
2020-06-21,67892
2020-06-22,71458
2020-06-23,73471
2020-06-24,77754
2020-06-25,81307
2020-06-26,84168
2020-06-27,86906
2020-06-28,92624
2020-06-29,95407
2020-06-30,98503
2020-07-01,102029
2020-07-02,106580
2020-07-03,109515
2020-07-04,113213
2020-07-05,116792
2020-07-06,120616
2020-07-07,125839
2020-07-08,131494
2020-07-09,136262
2020-07-10,141922
2020-07-11,148972
2020-07-12,154172
2020-07-13,160192
2020-07-14,164793
2020-07-15,172522
2020-07-16,179425
2020-07-17,184960
2020-07-18,193286
2020-07-19,200776
2020-07-20,208165
2020-07-21,217141
2020-07-22,224758
2020-07-23,233661
2020-07-24,242570
2020-07-25,248884
2020-07-26,264272
2020-07-27,273443
2020-07-28,283368
2020-07-29,296910
2020-07-30,309281
